"","X","PlantID","PlantName","State","Year","Month","GenerationMWh"
"134",134,154,"Hoover Dam","NV","2001","January",206134
"7423",7423,154,"Hoover Dam","NV","2001","February",254397
"14712",14712,154,"Hoover Dam","NV","2001","March",267657
"22001",22001,154,"Hoover Dam","NV","2001","April",268085
"29290",29290,154,"Hoover Dam","NV","2001","May",254725
"36579",36579,154,"Hoover Dam","NV","2001","June",252626
"43868",43868,154,"Hoover Dam","NV","2001","July",234008
"51157",51157,154,"Hoover Dam","NV","2001","August",213305
"58446",58446,154,"Hoover Dam","NV","2001","September",152287
"65735",65735,154,"Hoover Dam","NV","2001","October",101890
"73024",73024,154,"Hoover Dam","NV","2001","November",121816
"80313",80313,154,"Hoover Dam","NV","2001","December",126598
"87610",87610,154,"Hoover Dam","NV","2002","January",106804
"96061",96061,154,"Hoover Dam","NV","2002","February",131382
"104512",104512,154,"Hoover Dam","NV","2002","March",182117
"112963",112963,154,"Hoover Dam","NV","2002","April",243713
"121414",121414,154,"Hoover Dam","NV","2002","May",264231
"129865",129865,154,"Hoover Dam","NV","2002","June",250329
"138316",138316,154,"Hoover Dam","NV","2002","July",225684
"146767",146767,154,"Hoover Dam","NV","2002","August",212579
"155218",155218,154,"Hoover Dam","NV","2002","September",153924
"163669",163669,154,"Hoover Dam","NV","2002","October",125404
"172120",172120,154,"Hoover Dam","NV","2002","November",179448
"180571",180571,154,"Hoover Dam","NV","2002","December",149326
"189050",189050,154,"Hoover Dam","NV","2003","January",181349
"199096",199096,154,"Hoover Dam","NV","2003","February",166193
"209142",209142,154,"Hoover Dam","NV","2003","March",240971
"219188",219188,154,"Hoover Dam","NV","2003","April",185175
"229234",229234,154,"Hoover Dam","NV","2003","May",221094
"239280",239280,154,"Hoover Dam","NV","2003","June",201325
"249326",249326,154,"Hoover Dam","NV","2003","July",107181
"259372",259372,154,"Hoover Dam","NV","2003","August",106867
"269418",269418,154,"Hoover Dam","NV","2003","September",76372
"279464",279464,154,"Hoover Dam","NV","2003","October",63701
"289510",289510,154,"Hoover Dam","NV","2003","November",71588
"299556",299556,154,"Hoover Dam","NV","2003","December",79680
"309596",309596,154,"Hoover Dam","NV","2004","January",64672
"319098",319098,154,"Hoover Dam","NV","2004","February",96152
"328600",328600,154,"Hoover Dam","NV","2004","March",131357
"338102",338102,154,"Hoover Dam","NV","2004","April",210704
"347604",347604,154,"Hoover Dam","NV","2004","May",232905
"357106",357106,154,"Hoover Dam","NV","2004","June",198567
"366608",366608,154,"Hoover Dam","NV","2004","July",163787
"376110",376110,154,"Hoover Dam","NV","2004","August",118657
"385612",385612,154,"Hoover Dam","NV","2004","September",71811
"395114",395114,154,"Hoover Dam","NV","2004","October",38107
"404616",404616,154,"Hoover Dam","NV","2004","November",102904
"414118",414118,154,"Hoover Dam","NV","2004","December",151461
"423612",423612,154,"Hoover Dam","NV","2005","January",80025
"432955",432955,154,"Hoover Dam","NV","2005","February",73259
"442298",442298,154,"Hoover Dam","NV","2005","March",63965
"451641",451641,154,"Hoover Dam","NV","2005","April",202268
"460984",460984,154,"Hoover Dam","NV","2005","May",181704
"470327",470327,154,"Hoover Dam","NV","2005","June",192476
"479670",479670,154,"Hoover Dam","NV","2005","July",225004
"489013",489013,154,"Hoover Dam","NV","2005","August",168481
"498356",498356,154,"Hoover Dam","NV","2005","September",127627
"507699",507699,154,"Hoover Dam","NV","2005","October",125374
"517042",517042,154,"Hoover Dam","NV","2005","November",109017
"526385",526385,154,"Hoover Dam","NV","2005","December",119786
"535731",535731,154,"Hoover Dam","NV","2006","January",93170
"545049",545049,154,"Hoover Dam","NV","2006","February",118581
"554367",554367,154,"Hoover Dam","NV","2006","March",187735
"563685",563685,154,"Hoover Dam","NV","2006","April",195655
"573003",573003,154,"Hoover Dam","NV","2006","May",229854
"582321",582321,154,"Hoover Dam","NV","2006","June",222734
"591639",591639,154,"Hoover Dam","NV","2006","July",203036
"600957",600957,154,"Hoover Dam","NV","2006","August",162383
"610275",610275,154,"Hoover Dam","NV","2006","September",119107
"619593",619593,154,"Hoover Dam","NV","2006","October",132607
"628911",628911,154,"Hoover Dam","NV","2006","November",176333
"638229",638229,154,"Hoover Dam","NV","2006","December",178834
"647558",647558,154,"Hoover Dam","NV","2007","January",221137
"657184",657184,154,"Hoover Dam","NV","2007","February",205643
"666810",666810,154,"Hoover Dam","NV","2007","March",251169
"676436",676436,154,"Hoover Dam","NV","2007","April",254852
"686062",686062,154,"Hoover Dam","NV","2007","May",238746
"695688",695688,154,"Hoover Dam","NV","2007","June",192420
"705314",705314,154,"Hoover Dam","NV","2007","July",176154
"714940",714940,154,"Hoover Dam","NV","2007","August",152354
"724566",724566,154,"Hoover Dam","NV","2007","September",130156
"734192",734192,154,"Hoover Dam","NV","2007","October",86590
"743818",743818,154,"Hoover Dam","NV","2007","November",26473
"753444",753444,154,"Hoover Dam","NV","2007","December",23899
"763077",763077,154,"Hoover Dam","NV","2008","January",44441
"773167",773167,154,"Hoover Dam","NV","2008","February",62567
"783257",783257,154,"Hoover Dam","NV","2008","March",169077
"793347",793347,154,"Hoover Dam","NV","2008","April",239363
"803437",803437,154,"Hoover Dam","NV","2008","May",182567
"813527",813527,154,"Hoover Dam","NV","2008","June",210436
"823617",823617,154,"Hoover Dam","NV","2008","July",181618
"833707",833707,154,"Hoover Dam","NV","2008","August",180732
"843797",843797,154,"Hoover Dam","NV","2008","September",159893
"853887",853887,154,"Hoover Dam","NV","2008","October",93373
"863977",863977,154,"Hoover Dam","NV","2008","November",96898
"874067",874067,154,"Hoover Dam","NV","2008","December",88730
"884147",884147,154,"Hoover Dam","NV","2009","January",129728
"894074",894074,154,"Hoover Dam","NV","2009","February",135190
"904001",904001,154,"Hoover Dam","NV","2009","March",189170
"913928",913928,154,"Hoover Dam","NV","2009","April",279152
"923855",923855,154,"Hoover Dam","NV","2009","May",229797
"933782",933782,154,"Hoover Dam","NV","2009","June",206520
"943709",943709,154,"Hoover Dam","NV","2009","July",211528
"953636",953636,154,"Hoover Dam","NV","2009","August",228523
"963563",963563,154,"Hoover Dam","NV","2009","September",163265
