datetime,total release_cfs
4/1/34,5880
4/2/34,6070
4/3/34,5840
4/4/34,5690
4/5/34,5540
4/6/34,5440
4/7/34,5880
4/8/34,6190
4/9/34,6240
4/10/34,6290
4/11/34,6190
4/12/34,6140
4/13/34,6170
4/14/34,6070
4/15/34,5910
4/16/34,5580
4/17/34,5620
4/18/34,5690
4/19/34,6240
4/20/34,7920
4/21/34,8350
4/22/34,9970
4/23/34,9970
4/24/34,9690
4/25/34,9400
4/26/34,9150
4/27/34,9830
4/28/34,10700
4/29/34,11900
4/30/34,12200
5/1/34,12900
5/2/34,13700
5/3/34,14700
5/4/34,14800
5/5/34,14600
5/6/34,14300
5/7/34,15400
5/8/34,17400
5/9/34,15300
5/10/34,14700
5/11/34,13700
5/12/34,13800
5/13/34,15700
5/14/34,19200
5/15/34,21900
5/16/34,24400
5/17/34,25000
5/18/34,25100
5/19/34,24900
5/20/34,22500
5/21/34,20100
5/22/34,19900
5/23/34,20000
5/24/34,20300
5/25/34,19600
5/26/34,19000
5/27/34,18200
5/28/34,18100
5/29/34,17100
5/30/34,15800
5/31/34,17900
6/1/34,17500
6/2/34,18800
6/3/34,18200
6/4/34,17300
6/5/34,18600
6/6/34,18600
6/7/34,17100
6/8/34,16000
6/9/34,14200
6/10/34,13300
6/11/34,12600
6/12/34,12000
6/13/34,11600
6/14/34,10600
6/15/34,9870
6/16/34,9220
6/17/34,8740
6/18/34,8030
6/19/34,7410
6/20/34,7050
6/21/34,6580
6/22/34,6050
6/23/34,5800
6/24/34,5400
6/25/34,5080
6/26/34,4990
6/27/34,4860
6/28/34,4420
6/29/34,4280
6/30/34,4100
7/1/34,3910
7/2/34,3620
7/3/34,3520
7/4/34,3470
7/5/34,3300
7/6/34,3530
7/7/34,3570
7/8/34,3320
7/9/34,3300
7/10/34,3180
7/11/34,3130
7/12/34,2950
7/13/34,2830
7/14/34,2680
7/15/34,2600
7/16/34,2620
7/17/34,2470
7/18/34,2360
7/19/34,2340
7/20/34,2280
7/21/34,2230
7/22/34,2230
7/23/34,2170
7/24/34,2200
7/25/34,2360
7/26/34,2200
7/27/34,2280
7/28/34,2260
7/29/34,2440
7/30/34,2420
7/31/34,2490
8/1/34,2720
8/2/34,2290
8/3/34,2290
8/4/34,2970
8/5/34,2860
8/6/34,2770
8/7/34,2510
8/8/34,2830
8/9/34,2390
8/10/34,2440
8/11/34,2240
8/12/34,2230
8/13/34,2010
8/14/34,1940
8/15/34,2180
8/16/34,2190
8/17/34,2010
8/18/34,2030
8/19/34,2260
8/20/34,2260
8/21/34,2210
8/22/34,2280
8/23/34,3260
8/24/34,3330
8/25/34,3120
8/26/34,3420
8/27/34,3010
8/28/34,2820
8/29/34,2870
8/30/34,3000
8/31/34,4820
9/1/34,6390
9/2/34,7380
9/3/34,9080
9/4/34,6580
9/5/34,5110
9/6/34,4630
9/7/34,3690
9/8/34,3260
9/9/34,2940
9/10/34,2970
9/11/34,2790
9/12/34,2740
9/13/34,2440
9/14/34,2380
9/15/34,2420
9/16/34,2380
9/17/34,2310
9/18/34,2160
9/19/34,2160
9/20/34,2060
9/21/34,2160
9/22/34,2470
9/23/34,2480
9/24/34,2720
9/25/34,2560
9/26/34,2460
9/27/34,2330
9/28/34,2200
9/29/34,2080
9/30/34,2020
10/1/34,3620
10/2/34,4220
10/3/34,3690
10/4/34,3370
10/5/34,3110
10/6/34,3580
10/7/34,3640
10/8/34,3530
10/9/34,3330
10/10/34,3310
10/11/34,3210
10/12/34,3170
10/13/34,3120
10/14/34,3090
10/15/34,2920
10/16/34,2880
10/17/34,2820
10/18/34,2910
10/19/34,2760
10/20/34,2790
10/21/34,2650
10/22/34,2650
10/23/34,2820
10/24/34,2770
10/25/34,2850
10/26/34,2870
10/27/34,2990
10/28/34,2920
10/29/34,2940
10/30/34,2900
10/31/34,2940
11/1/34,3020
11/2/34,3070
11/3/34,3080
11/4/34,3040
11/5/34,3080
11/6/34,3090
11/7/34,3010
11/8/34,3080
11/9/34,3050
11/10/34,3050
11/11/34,3020
11/12/34,2970
11/13/34,3060
11/14/34,3140
11/15/34,3270
11/16/34,3390
11/17/34,3360
11/18/34,3610
11/19/34,3700
11/20/34,3910
11/21/34,4160
11/22/34,4090
11/23/34,3940
11/24/34,3970
11/25/34,4190
11/26/34,4120
11/27/34,4280
11/28/34,4190
11/29/34,4310
11/30/34,4310
12/1/34,4310
12/2/34,4340
12/3/34,4400
12/4/34,4430
12/5/34,4310
12/6/34,4370
12/7/34,4430
12/8/34,4370
12/9/34,4190
12/10/34,4160
12/11/34,3970
12/12/34,3730
12/13/34,3580
12/14/34,3640
12/15/34,3640
12/16/34,3880
12/17/34,4370
12/18/34,4120
12/19/34,4430
12/20/34,4590
12/21/34,4970
12/22/34,5100
12/23/34,4940
12/24/34,5000
12/25/34,5160
12/26/34,5200
12/27/34,4940
12/28/34,4780
12/29/34,4750
12/30/34,4810
12/31/34,4840
1/1/35,4550
1/2/35,4550
1/3/35,4550
1/4/35,4500
1/5/35,4560
1/6/35,4620
1/7/35,4680
1/8/35,4480
1/9/35,4350
1/10/35,4340
