datetime,evaporation_acft
3/14/63,0
3/15/63,0
3/16/63,0
3/17/63,0
3/18/63,0
3/19/63,0
3/20/63,0
3/21/63,0
3/22/63,0
3/23/63,0
3/24/63,0
3/25/63,0
3/26/63,0
3/27/63,0
3/28/63,0
3/29/63,0
3/30/63,0
3/31/63,0
4/1/63,0
4/2/63,0
4/3/63,0
4/4/63,0
4/5/63,0
4/6/63,0
4/7/63,0
4/8/63,0
4/9/63,0
4/10/63,0
4/11/63,0
4/12/63,0
4/13/63,0
4/14/63,0
4/15/63,0
4/16/63,0
4/17/63,0
4/18/63,0
4/19/63,0
4/20/63,0
4/21/63,0
4/22/63,0
4/23/63,0
4/24/63,0
4/25/63,0
4/26/63,0
4/27/63,0
4/28/63,0
4/29/63,0
4/30/63,0
5/1/63,0
5/2/63,0
5/3/63,0
5/4/63,0
5/5/63,0
5/6/63,0
5/7/63,0
5/8/63,0
5/9/63,0
5/10/63,0
5/11/63,0
5/12/63,0
5/13/63,0
5/14/63,0
5/15/63,0
5/16/63,0
5/17/63,0
5/18/63,0
5/19/63,0
5/20/63,0
5/21/63,0
5/22/63,0
5/23/63,0
5/24/63,0
5/25/63,0
5/26/63,0
5/27/63,0
5/28/63,0
5/29/63,0
5/30/63,0
5/31/63,0
6/1/63,0
6/2/63,0
6/3/63,0
6/4/63,0
6/5/63,0
6/6/63,0
6/7/63,0
6/8/63,0
6/9/63,0
6/10/63,0
6/11/63,0
6/12/63,0
6/13/63,0
6/14/63,0
6/15/63,0
6/16/63,0
6/17/63,0
6/18/63,0
6/19/63,0
6/20/63,0
6/21/63,0
6/22/63,0
6/23/63,0
6/24/63,0
6/25/63,0
6/26/63,0
6/27/63,0
6/28/63,0
6/29/63,0
6/30/63,0
7/1/63,0
7/2/63,0
7/3/63,0
7/4/63,0
7/5/63,0
7/6/63,0
7/7/63,0
7/8/63,0
7/9/63,0
7/10/63,0
7/11/63,0
7/12/63,0
7/13/63,0
7/14/63,0
7/15/63,0
7/16/63,0
7/17/63,0
7/18/63,0
7/19/63,0
7/20/63,0
7/21/63,0
7/22/63,0
