"","X","PlantID","PlantName","State","Year","Month","GenerationMWh"
"133",133,153,"Glen Canyon Dam","AZ","2001","January",405852
"7422",7422,153,"Glen Canyon Dam","AZ","2001","February",307807
"14711",14711,153,"Glen Canyon Dam","AZ","2001","March",307797
"22000",22000,153,"Glen Canyon Dam","AZ","2001","April",283654
"29289",29289,153,"Glen Canyon Dam","AZ","2001","May",285426
"36578",36578,153,"Glen Canyon Dam","AZ","2001","June",279152
"43867",43867,153,"Glen Canyon Dam","AZ","2001","July",385548
"51156",51156,153,"Glen Canyon Dam","AZ","2001","August",391080
"58445",58445,153,"Glen Canyon Dam","AZ","2001","September",214690
"65734",65734,153,"Glen Canyon Dam","AZ","2001","October",284879
"73023",73023,153,"Glen Canyon Dam","AZ","2001","November",285342
"80312",80312,153,"Glen Canyon Dam","AZ","2001","December",375686
"87609",87609,153,"Glen Canyon Dam","AZ","2002","January",373954
"96060",96060,153,"Glen Canyon Dam","AZ","2002","February",277626
"104511",104511,153,"Glen Canyon Dam","AZ","2002","March",277626
"112962",112962,153,"Glen Canyon Dam","AZ","2002","April",275634
"121413",121413,153,"Glen Canyon Dam","AZ","2002","May",269157
"129864",129864,153,"Glen Canyon Dam","AZ","2002","June",339915
"138315",138315,153,"Glen Canyon Dam","AZ","2002","July",404961
"146766",146766,153,"Glen Canyon Dam","AZ","2002","August",396366
"155217",155217,153,"Glen Canyon Dam","AZ","2002","September",212532
"163668",163668,153,"Glen Canyon Dam","AZ","2002","October",218034
"172119",172119,153,"Glen Canyon Dam","AZ","2002","November",207915
"180570",180570,153,"Glen Canyon Dam","AZ","2002","December",262568
"189049",189049,153,"Glen Canyon Dam","AZ","2003","January",339912
"199095",199095,153,"Glen Canyon Dam","AZ","2003","February",303174
"209141",209141,153,"Glen Canyon Dam","AZ","2003","March",333239
"219187",219187,153,"Glen Canyon Dam","AZ","2003","April",252972
"229233",229233,153,"Glen Canyon Dam","AZ","2003","May",274407
"239279",239279,153,"Glen Canyon Dam","AZ","2003","June",361185
"249325",249325,153,"Glen Canyon Dam","AZ","2003","July",385381
"259371",259371,153,"Glen Canyon Dam","AZ","2003","August",380884
"269417",269417,153,"Glen Canyon Dam","AZ","2003","September",198626
"279463",279463,153,"Glen Canyon Dam","AZ","2003","October",205246
"289509",289509,153,"Glen Canyon Dam","AZ","2003","November",197802
"299555",299555,153,"Glen Canyon Dam","AZ","2003","December",249595
"309595",309595,153,"Glen Canyon Dam","AZ","2004","January",323575
"319097",319097,153,"Glen Canyon Dam","AZ","2004","February",301574
"328599",328599,153,"Glen Canyon Dam","AZ","2004","March",323010
"338101",338101,153,"Glen Canyon Dam","AZ","2004","April",259562
"347603",347603,153,"Glen Canyon Dam","AZ","2004","May",238647
"357105",357105,153,"Glen Canyon Dam","AZ","2004","June",323297
"366607",366607,153,"Glen Canyon Dam","AZ","2004","July",359293
"376109",376109,153,"Glen Canyon Dam","AZ","2004","August",351494
"385611",385611,153,"Glen Canyon Dam","AZ","2004","September",187101
"395113",395113,153,"Glen Canyon Dam","AZ","2004","October",190837
"404615",404615,153,"Glen Canyon Dam","AZ","2004","November",240806
"414117",414117,153,"Glen Canyon Dam","AZ","2004","December",228696
"423611",423611,153,"Glen Canyon Dam","AZ","2005","January",295008
"432954",432954,153,"Glen Canyon Dam","AZ","2005","February",271380
"442297",442297,153,"Glen Canyon Dam","AZ","2005","March",300313
"451640",451640,153,"Glen Canyon Dam","AZ","2005","April",196239
"460983",460983,153,"Glen Canyon Dam","AZ","2005","May",231055
"470326",470326,153,"Glen Canyon Dam","AZ","2005","June",321586
"479669",479669,153,"Glen Canyon Dam","AZ","2005","July",359191
"489012",489012,153,"Glen Canyon Dam","AZ","2005","August",366351
"498355",498355,153,"Glen Canyon Dam","AZ","2005","September",207129
"507698",507698,153,"Glen Canyon Dam","AZ","2005","October",207027
"517041",517041,153,"Glen Canyon Dam","AZ","2005","November",209874
"526384",526384,153,"Glen Canyon Dam","AZ","2005","December",334276
"535730",535730,153,"Glen Canyon Dam","AZ","2006","January",330207
"545048",545048,153,"Glen Canyon Dam","AZ","2006","February",328923
"554366",554366,153,"Glen Canyon Dam","AZ","2006","March",243289
"563684",563684,153,"Glen Canyon Dam","AZ","2006","April",243958
"573002",573002,153,"Glen Canyon Dam","AZ","2006","May",247202
"582320",582320,153,"Glen Canyon Dam","AZ","2006","June",339739
"591638",591638,153,"Glen Canyon Dam","AZ","2006","July",350177
"600956",600956,153,"Glen Canyon Dam","AZ","2006","August",347806
"610274",610274,153,"Glen Canyon Dam","AZ","2006","September",222065
"619592",619592,153,"Glen Canyon Dam","AZ","2006","October",253419
"628910",628910,153,"Glen Canyon Dam","AZ","2006","November",252890
"638228",638228,153,"Glen Canyon Dam","AZ","2006","December",336978
"647557",647557,153,"Glen Canyon Dam","AZ","2007","January",334583
"657183",657183,153,"Glen Canyon Dam","AZ","2007","February",250538
"666809",666809,153,"Glen Canyon Dam","AZ","2007","March",248674
"676435",676435,153,"Glen Canyon Dam","AZ","2007","April",249815
"686061",686061,153,"Glen Canyon Dam","AZ","2007","May",252805
"695687",695687,153,"Glen Canyon Dam","AZ","2007","June",342077
"705313",705313,153,"Glen Canyon Dam","AZ","2007","July",341980
"714939",714939,153,"Glen Canyon Dam","AZ","2007","August",338947
"724565",724565,153,"Glen Canyon Dam","AZ","2007","September",252140
"734191",734191,153,"Glen Canyon Dam","AZ","2007","October",245363
"743817",743817,153,"Glen Canyon Dam","AZ","2007","November",250942
"753443",753443,153,"Glen Canyon Dam","AZ","2007","December",333417
"763076",763076,153,"Glen Canyon Dam","AZ","2008","January",329440
"773166",773166,153,"Glen Canyon Dam","AZ","2008","February",246088
"783256",783256,153,"Glen Canyon Dam","AZ","2008","March",298659
"793346",793346,153,"Glen Canyon Dam","AZ","2008","April",279304
"803436",803436,153,"Glen Canyon Dam","AZ","2008","May",331792
"813526",813526,153,"Glen Canyon Dam","AZ","2008","June",347477
"823616",823616,153,"Glen Canyon Dam","AZ","2008","July",389366
"833706",833706,153,"Glen Canyon Dam","AZ","2008","August",399493
"843796",843796,153,"Glen Canyon Dam","AZ","2008","September",322479
"853886",853886,153,"Glen Canyon Dam","AZ","2008","October",333734
"863976",863976,153,"Glen Canyon Dam","AZ","2008","November",266119
"874066",874066,153,"Glen Canyon Dam","AZ","2008","December",353757
"884146",884146,153,"Glen Canyon Dam","AZ","2009","January",350870
"894073",894073,153,"Glen Canyon Dam","AZ","2009","February",261102
"904000",904000,153,"Glen Canyon Dam","AZ","2009","March",270189
"913927",913927,153,"Glen Canyon Dam","AZ","2009","April",259497
"923854",923854,153,"Glen Canyon Dam","AZ","2009","May",255270
"933781",933781,153,"Glen Canyon Dam","AZ","2009","June",299916
"943708",943708,153,"Glen Canyon Dam","AZ","2009","July",370244
"953635",953635,153,"Glen Canyon Dam","AZ","2009","August",367654
"963562",963562,153,"Glen Canyon Dam","AZ","2009","September",274487
"973489",973489,153,"Glen Canyon Dam","AZ","2009","October",283812
"983416",983416,153,"Glen Canyon Dam","AZ","2009","November",308694
"993343",993343,153,"Glen Canyon Dam","AZ","2009","December",402131
"1003269",1003269,153,"Glen Canyon Dam","AZ","2010","January",399795
"1013377",1013377,153,"Glen Canyon Dam","AZ","2010","February",278328
"1023485",1023485,153,"Glen Canyon Dam","AZ","2010","March",267865
"1033593",1033593,153,"Glen Canyon Dam","AZ","2010","April",264546
