datetime,inflow_acft
3/11/63,9424.31207
3/12/63,9283.10876
3/13/63,9214.5243
3/14/63,9418.2605
3/15/63,9381.95107
3/16/63,9507.01686
3/17/63,9418.2605
3/18/63,8988.59901
3/19/63,9113.66479
3/20/63,8669.88298
3/21/63,9037.01157
3/22/63,8928.08331
3/23/63,8798.98314
3/24/63,8815.12066
3/25/63,10065.7785
3/26/63,12361.3408
3/27/63,14814.244
3/28/63,15935.8017
3/29/63,16478.4258
3/30/63,17932.8198
3/31/63,19324.681
4/1/63,20609.0182
4/2/63,22213.2
4/3/63,22062.2182
4/4/63,21439.4182
4/5/63,19872.9818
4/6/63,18231.0546
4/7/63,16351.3309
4/8/63,15477.5236
4/9/63,14643.3491
4/10/63,14917.0036
4/11/63,15851.2036
4/12/63,16022.9455
4/13/63,15758.7273
4/14/63,14488.5927
4/15/63,13378.8764
4/16/63,15230.2909
4/17/63,17664.8727
4/18/63,20344.8
4/19/63,20099.4546
4/20/63,17325.1636
4/21/63,15135.9273
4/22/63,13550.6182
4/23/63,12059.6727
4/24/63,11267.0182
4/25/63,10681.9636
4/26/63,9757.2
4/27/63,9172.14545
4/28/63,8605.96364
4/29/63,8828.66182
4/30/63,9853.45091
5/1/63,11903.5966
5/2/63,11324.1664
5/3/63,10068.0861
5/4/63,9480.87828
5/5/63,9517.82182
5/6/63,9976.69944
5/7/63,11777.2108
5/8/63,14658.8067
5/9/63,20338.3894
5/10/63,26132.6916
5/11/63,29652.0496
5/12/63,33793.6146
5/13/63,36360.2182
5/14/63,37740.7398
5/15/63,38985.1537
5/16/63,39626.8046
5/17/63,40657.3349
5/18/63,39160.1494
5/19/63,38168.5071
5/20/63,39374.0331
5/21/63,40346.2314
5/22/63,41376.7617
5/23/63,41843.4169
5/24/63,42523.9557
5/25/63,40832.3306
5/26/63,39879.5762
5/27/63,39179.5934
5/28/63,37604.6321
5/29/63,35368.5759
5/30/63,34376.9336
5/31/63,33910.2784
6/1/63,37257.3322
6/2/63,36588.6645
6/3/63,35899.1008
6/4/63,33496.076
6/5/63,32639.3455
6/6/63,33913.9934
6/7/63,32175.4572
6/8/63,30691.8506
6/9/63,29901.9868
6/10/63,29143.4668
6/11/63,29872.7326
6/12/63,29812.1346
6/13/63,28489.4261
6/14/63,25095.9372
6/15/63,23194.4132
6/16/63,21501.8479
6/17/63,22832.9147
6/18/63,23783.6767
6/19/63,24243.3858
6/20/63,25346.6876
6/21/63,24602.7947
6/22/63,24596.526
6/23/63,24255.9233
6/24/63,23566.3597
6/25/63,21976.1841
6/26/63,20118.5415
6/27/63,18137.6132
6/28/63,16263.2539
6/29/63,14839.0083
6/30/63,9741.17355
7/1/63,9609.50413
7/2/63,10045.1736
7/3/63,9613.00826
7/4/63,6989.17355
