STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHA,D,6,RES ELE,20070101 0000,20070101 0000,1022.09, ,FEET
SHA,D,6,RES ELE,20070102 0000,20070102 0000,1022.14, ,FEET
SHA,D,6,RES ELE,20070103 0000,20070103 0000,1022.34, ,FEET
SHA,D,6,RES ELE,20070104 0000,20070104 0000,1022.56, ,FEET
SHA,D,6,RES ELE,20070105 0000,20070105 0000,1022.66, ,FEET
SHA,D,6,RES ELE,20070106 0000,20070106 0000,1022.78, ,FEET
SHA,D,6,RES ELE,20070107 0000,20070107 0000,1022.89, ,FEET
SHA,D,6,RES ELE,20070108 0000,20070108 0000,1023.02, ,FEET
SHA,D,6,RES ELE,20070109 0000,20070109 0000,1023.12, ,FEET
SHA,D,6,RES ELE,20070110 0000,20070110 0000,1023.18, ,FEET
SHA,D,6,RES ELE,20070111 0000,20070111 0000,1023.28, ,FEET
SHA,D,6,RES ELE,20070112 0000,20070112 0000,1023.31, ,FEET
SHA,D,6,RES ELE,20070113 0000,20070113 0000,1023.36, ,FEET
SHA,D,6,RES ELE,20070114 0000,20070114 0000,1023.45, ,FEET
SHA,D,6,RES ELE,20070115 0000,20070115 0000,1023.52, ,FEET
SHA,D,6,RES ELE,20070116 0000,20070116 0000,1023.65, ,FEET
SHA,D,6,RES ELE,20070117 0000,20070117 0000,1023.68, ,FEET
SHA,D,6,RES ELE,20070118 0000,20070118 0000,1023.71, ,FEET
SHA,D,6,RES ELE,20070119 0000,20070119 0000,1023.73, ,FEET
SHA,D,6,RES ELE,20070120 0000,20070120 0000,1023.73, ,FEET
SHA,D,6,RES ELE,20070121 0000,20070121 0000,1023.74, ,FEET
SHA,D,6,RES ELE,20070122 0000,20070122 0000,1023.77, ,FEET
SHA,D,6,RES ELE,20070123 0000,20070123 0000,1023.78, ,FEET
SHA,D,6,RES ELE,20070124 0000,20070124 0000,1023.79, ,FEET
SHA,D,6,RES ELE,20070125 0000,20070125 0000,1023.77, ,FEET
SHA,D,6,RES ELE,20070126 0000,20070126 0000,1023.70, ,FEET
